# Nmap 7.70 scan initiated Fri Aug 16 16:41:42 2019 as: nmap -sP -vv -o seg.log 4.4.*.100-101
Nmap scan report for 4.4.169.100 [host down, received no-response]
Nmap scan report for 4.4.169.101 [host down, received no-response]
Nmap scan report for 4.4.170.100 [host down, received no-response]
Nmap scan report for 4.4.170.101 [host down, received no-response]
Nmap scan report for 4.4.171.100 [host down, received no-response]
Nmap scan report for 4.4.171.101 [host down, received no-response]
Nmap scan report for 4.4.172.100 [host down, received no-response]
Nmap scan report for 4.4.172.101 [host down, received no-response]
Nmap scan report for 4.4.173.100 [host down, received no-response]
Nmap scan report for 4.4.173.101 [host down, received no-response]
Nmap scan report for 4.4.174.100 [host down, received no-response]
Nmap scan report for 4.4.174.101 [host down, received no-response]
Nmap scan report for 4.4.175.100 [host down, received no-response]
Nmap scan report for 4.4.175.101 [host down, received no-response]
Nmap scan report for 4.4.176.100 [host down, received no-response]
Nmap scan report for 4.4.176.101 [host down, received no-response]
Nmap scan report for 4.4.177.100 [host down, received no-response]
Nmap scan report for 4.4.177.101 [host down, received no-response]
Nmap scan report for 4.4.178.100 [host down, received no-response]
Nmap scan report for 4.4.178.101 [host down, received no-response]
Nmap scan report for 4.4.179.100 [host down, received no-response]
Nmap scan report for 4.4.179.101 [host down, received no-response]
Nmap scan report for 4.4.180.100 [host down, received no-response]
Nmap scan report for 4.4.180.101 [host down, received no-response]
Nmap scan report for 4.4.181.100 [host down, received no-response]
Nmap scan report for 4.4.181.101 [host down, received no-response]
Nmap scan report for 4.4.182.100 [host down, received no-response]
Nmap scan report for 4.4.182.101 [host down, received no-response]
Nmap scan report for 4.4.183.100 [host down, received no-response]
Nmap scan report for 4.4.183.101 [host down, received no-response]
Nmap scan report for 4.4.184.100 [host down, received no-response]
Nmap scan report for 4.4.184.101 [host down, received no-response]
Nmap scan report for 4.4.185.100 [host down, received no-response]
Nmap scan report for 4.4.185.101 [host down, received no-response]
Nmap scan report for 4.4.186.100 [host down, received no-response]
Nmap scan report for 4.4.186.101 [host down, received no-response]
Nmap scan report for 4.4.187.100 [host down, received no-response]
Nmap scan report for 4.4.187.101 [host down, received no-response]
Nmap scan report for 4.4.188.100 [host down, received no-response]
Nmap scan report for 4.4.188.101 [host down, received no-response]
Nmap scan report for 4.4.189.100 [host down, received no-response]
Nmap scan report for 4.4.189.101 [host down, received no-response]
Nmap scan report for 4.4.190.100 [host down, received no-response]
Nmap scan report for 4.4.190.101 [host down, received no-response]
Nmap scan report for 4.4.191.100 [host down, received no-response]
Nmap scan report for 4.4.191.101 [host down, received no-response]
Nmap scan report for 4.4.192.100 [host down, received no-response]
Nmap scan report for 4.4.192.101 [host down, received no-response]
Nmap scan report for 4.4.193.100 [host down, received no-response]
Nmap scan report for 4.4.193.101 [host down, received no-response]
Nmap scan report for 4.4.194.100 [host down, received no-response]
Nmap scan report for 4.4.194.101 [host down, received no-response]
Nmap scan report for 4.4.195.100 [host down, received no-response]
Nmap scan report for 4.4.195.101 [host down, received no-response]
Nmap scan report for 4.4.196.100 [host down, received no-response]
Nmap scan report for 4.4.196.101 [host down, received no-response]
Nmap scan report for 4.4.197.100 [host down, received no-response]
Nmap scan report for 4.4.197.101 [host down, received no-response]
Nmap scan report for 4.4.198.100 [host down, received no-response]
Nmap scan report for 4.4.198.101 [host down, received no-response]
Nmap scan report for 4.4.199.100 [host down, received no-response]
Nmap scan report for 4.4.199.101 [host down, received no-response]
Nmap scan report for 4.4.200.100 [host down, received no-response]
Nmap scan report for 4.4.200.101 [host down, received no-response]
Nmap scan report for 4.4.201.100 [host down, received no-response]
Nmap scan report for 4.4.201.101 [host down, received no-response]
Nmap scan report for 4.4.202.100 [host down, received no-response]
Nmap scan report for 4.4.202.101 [host down, received no-response]
Nmap scan report for 4.4.203.100 [host down, received no-response]
Nmap scan report for 4.4.203.101 [host down, received no-response]
Nmap scan report for 4.4.204.100 [host down, received no-response]
Nmap scan report for 4.4.204.101 [host down, received no-response]
Nmap scan report for 4.4.205.100 [host down, received no-response]
Nmap scan report for 4.4.205.101 [host down, received no-response]
Nmap scan report for 4.4.206.100 [host down, received no-response]
Nmap scan report for 4.4.206.101 [host down, received no-response]
Nmap scan report for 4.4.207.100 [host down, received no-response]
Nmap scan report for 4.4.207.101 [host down, received no-response]
Nmap scan report for 4.4.208.100 [host down, received no-response]
Nmap scan report for 4.4.208.101 [host down, received no-response]
Nmap scan report for 4.4.209.100 [host down, received no-response]
Nmap scan report for 4.4.209.101 [host down, received no-response]
Nmap scan report for 4.4.210.100 [host down, received no-response]
Nmap scan report for 4.4.210.101 [host down, received no-response]
Nmap scan report for 4.4.211.100 [host down, received no-response]
Nmap scan report for 4.4.211.101 [host down, received no-response]
Nmap scan report for 4.4.212.100 [host down, received no-response]
Nmap scan report for 4.4.212.101 [host down, received no-response]
Nmap scan report for 4.4.213.100 [host down, received no-response]
Nmap scan report for 4.4.213.101 [host down, received no-response]
Nmap scan report for 4.4.214.100 [host down, received no-response]
Nmap scan report for 4.4.214.101 [host down, received no-response]
Nmap scan report for 4.4.215.100 [host down, received no-response]
Nmap scan report for 4.4.215.101 [host down, received no-response]
Nmap scan report for 4.4.216.100 [host down, received no-response]
Nmap scan report for 4.4.216.101 [host down, received no-response]
Nmap scan report for 4.4.217.100 [host down, received no-response]
Nmap scan report for 4.4.217.101 [host down, received no-response]
Nmap scan report for 4.4.218.100 [host down, received no-response]
Nmap scan report for 4.4.218.101 [host down, received no-response]
Nmap scan report for 4.4.219.100 [host down, received no-response]
Nmap scan report for 4.4.219.101 [host down, received no-response]
Nmap scan report for 4.4.220.100 [host down, received no-response]
Nmap scan report for 4.4.220.101 [host down, received no-response]
Nmap scan report for 4.4.221.100 [host down, received no-response]
Nmap scan report for 4.4.221.101 [host down, received no-response]
Nmap scan report for 4.4.222.100 [host down, received no-response]
Nmap scan report for 4.4.222.101 [host down, received no-response]
Nmap scan report for 4.4.223.100 [host down, received no-response]
Nmap scan report for 4.4.223.101 [host down, received no-response]
Nmap scan report for 4.4.224.100 [host down, received no-response]
Nmap scan report for 4.4.224.101 [host down, received no-response]
Nmap scan report for 4.4.225.100 [host down, received no-response]
Nmap scan report for 4.4.225.101 [host down, received no-response]
Nmap scan report for 4.4.226.100 [host down, received no-response]
Nmap scan report for 4.4.226.101 [host down, received no-response]
Nmap scan report for 4.4.227.100 [host down, received no-response]
